Date,Temperature,Precipitation,Humidity,Visibility,WindSpeed
2017-01-03 22:00:00,5.833333333333333,0.0,85.5,9.35,23.3305
2017-01-03 23:00:00,5.277777777777778,0.0,83.5,9.0,24.134999999999998
2017-01-04 00:00:00,4.444444444444445,0.0,83.0,10.0,20.917
2017-01-04 01:00:00,4.166666666666667,0.0,82.5,9.969999999999999,22.526
2017-01-04 02:00:00,2.7777777777777777,0.0,84.5,5.0,25.744
2017-01-04 03:00:00,1.3888888888888888,0.0,80.5,6.0,30.570999999999998
2017-01-04 04:00:00,0.3703703703703704,0.0,77.66666666666667,7.196666666666666,27.889333333333337
2017-01-04 05:00:00,-0.8333333333333334,0.0,72.0,9.0,24.135
2017-01-04 06:00:00,-2.7777777777777777,0.0,75.0,10.0,22.526
2017-01-04 07:00:00,-2.7777777777777777,0.0,70.5,9.969999999999999,22.526
2017-01-04 08:00:00,-2.7777777777777777,0.0,63.0,10.0,20.917
2017-01-04 09:00:00,-2.2222222222222223,0.0,60.0,10.0,24.134999999999998
2017-01-04 10:00:00,-1.6666666666666667,0.0,57.0,9.969999999999999,23.3305
2017-01-04 11:00:00,-0.5555555555555556,0.0,47.0,10.0,17.698999999999998
2017-01-04 12:00:00,0.5555555555555556,0.0,43.0,10.0,17.698999999999998
2017-01-04 13:00:00,0.8333333333333334,0.0,41.5,9.969999999999999,19.308
2017-01-04 14:00:00,0.5555555555555556,0.0,42.0,10.0,22.526
2017-01-04 15:00:00,0.5555555555555556,0.0,42.0,10.0,17.698999999999998
2017-01-04 16:00:00,0.0,0.0,42.0,9.969999999999999,19.308
2017-01-04 17:00:00,-2.2222222222222223,0.0,44.0,10.0,20.917
2017-01-04 18:00:00,-2.7777777777777777,0.0,51.0,10.0,16.09
2017-01-04 19:00:00,-3.333333333333333,0.0,53.0,9.969999999999999,16.09
2017-01-04 20:00:00,-3.3333333333333335,0.0,53.0,10.0,14.481
2017-01-04 21:00:00,-3.888888888888889,0.0,55.0,10.0,14.481
2017-01-04 22:00:00,-3.888888888888889,0.0,55.0,9.969999999999999,13.6765
2017-01-04 23:00:00,-3.888888888888889,0.0,58.0,10.0,12.872
2017-01-05 00:00:00,-4.444444444444445,0.0,57.0,10.0,12.872
2017-01-05 01:00:00,-4.166666666666667,0.0,56.0,9.969999999999999,12.067499999999999
2017-01-05 02:00:00,-3.888888888888889,0.0,55.0,10.0,8.045
2017-01-05 03:00:00,-3.888888888888889,0.0,55.0,10.0,11.263
2017-01-05 04:00:00,-3.888888888888889,0.0,56.5,9.969999999999999,9.654
2017-01-05 05:00:00,-3.888888888888889,0.0,58.0,10.0,8.045
2017-01-05 06:00:00,-3.888888888888889,1.27,58.0,9.0,0.0
2017-01-05 07:00:00,-4.444444444444445,2.54,67.4,3.3899999999999997,0.9654
2017-01-05 08:00:00,-4.444444444444445,2.54,79.0,1.875,0.0
2017-01-05 09:00:00,-4.444444444444445,5.08,79.0,1.125,2.4135
2017-01-05 10:00:00,-3.888888888888889,4.445,76.5,2.25,2.4135
2017-01-05 11:00:00,-3.7037037037037037,3.81,74.66666666666667,3.0,1.609
2017-01-05 12:00:00,-3.3333333333333335,3.175,71.0,4.0,4.827
2017-01-05 13:00:00,-3.611111111111111,2.54,74.5,2.6174999999999997,9.654
2017-01-05 14:00:00,-3.888888888888889,2.54,75.0,4.833333333333333,10.726666666666667
2017-01-05 15:00:00,-4.2592592592592595,2.54,75.33333333333333,1.5,17.699
2017-01-05 16:00:00,-4.444444444444445,1.6933333333333334,75.0,3.9133333333333336,15.017333333333333
2017-01-05 17:00:00,-4.444444444444445,0.8466666666666667,69.0,8.666666666666666,16.09
